state_fips,variable,CBG_count,safegraph_ratio_mean,safegraph_ratio_min,safegraph_ratio_max,census_ratio,safegraph_ratio_mean_to_census,safegraph_ratio_min_to_census,safegraph_ratio_max_to_census
39,50K–100K,9212,0.29368672447266786,0.28809085603522516,0.2984988191442748,0.294997818277643,0.995555581350974,0.976586395510501,1.011867887318871
40,Female,2962,0.503825778334298,0.4990059938065436,0.5053436119537146,0.504289281461766,0.9990808784867994,0.9895232997221199,1.0020907255630982
40,Under 18,2962,0.037234556033091004,0.03608850482604357,0.0379955248194131,0.03738120884924517,0.9960768305608948,0.9654183461959468,1.0164338176607772
40,18–24,2962,0.06374645436120611,0.062407727774724475,0.06673328919217161,0.06474810204785897,0.9845300842036655,0.9638541640741131,1.030660159626691
40,25–34,2962,0.08084887236230753,0.07802683019334009,0.09055646647861679,0.08074051649660109,1.0013420259171986,0.9663900304207833,1.1215740300897
40,35–44,2962,0.07767081944690817,0.07614475101197543,0.08202056282654384,0.0782314202522952,0.9928340709707288,0.9733269671752055,1.048435047734385
40,45–54,2962,0.07773167728572276,0.07620198352795529,0.08099552999210981,0.07819166577380578,0.99411716730254,0.9745537810691196,1.0358588628411511
40,55–64,2962,0.08018549374527605,0.0788182791980586,0.08171891397836688,0.08070824421308455,0.9935229607222238,0.9765827514468522,1.0125225096288053
40,Over 65,2962,0.19728002367881475,0.1935373783412005,0.20120700499352745,0.19680833296186095,1.0023967009417494,0.9833799993555439,1.022350029419328
40,White,2962,0.7447839165344013,0.7346720289914794,0.7497753705660657,0.723144648138243,1.0299238450452055,1.0159406294202882,1.036826273272414
40,Black,2962,0.034400363939071886,0.03216781081936865,0.038206861582879996,0.03773668579175268,0.9115894312740641,0.8524280854149331,1.0124593821969938
40,Asian,2962,0.016762357655033696,0.014941866841179142,0.020411005685119187,0.015572642360411466,1.0763977793291335,0.9594946377991784,1.3106963617817189
40,Less High School,2962,0.08904300134378978,0.08615502356006509,0.0918476710876725,0.0941556894724946,0.9456996368743243,0.9150272707124436,0.9754872127456904
40,Bachelor Degree,2962,0.10252943004135139,0.09980747850178771,0.10716175881755562,0.09990914169711601,1.0262267125883138,0.9989824435121613,1.0725921271791785
40,Graduate Degree,2962,0.11883472664033559,0.11511225739051179,0.12503191330548663,0.11260231870311566,1.0553488419155217,1.0222902930979048,1.110384890342645
40,Less than 20K,2962,0.15619742245022936,0.1493546680357914,0.16463816053501196,0.16839367314854298,0.9275729873321601,0.8869375270651829,0.9776980183203308
40,20K–30K,2962,0.09910845819234589,0.09677005352348754,0.10176254445050138,0.10477682734536471,0.9459005459829893,0.9235825895406692,0.9712313975214417
40,30K–50K,2962,0.18698636072556632,0.184203685556744,0.19201587665792358,0.19306307929518957,0.9685246988092836,0.9541114035330404,0.9945758524048773
40,50K–100K,2962,0.2953161082719804,0.29273727948004274,0.2975427797826586,0.29264562904915603,1.0091253002189067,1.0003131788818596,1.016734064162906
41,Female,1326,0.49905335558225955,0.48740164487584703,0.5063335052519486,0.48016489818655433,1.0393374390069776,1.0150713780133114,1.054499208843099
41,Under 18,1326,0.03839745895088962,0.03122359613968933,0.04821635214184487,0.03631806771931365,1.057255007277553,0.859726249232276,1.3276133662861092
41,18–24,1326,0.06808272710397406,0.053172117035939055,0.08563876436464195,0.06548518486639791,1.0396661052858844,0.8119717023693247,1.3077578468986706
41,25–34,1326,0.0837866998064998,0.06641757921768285,0.1097542388587419,0.07882801119806822,1.0629051593851844,0.8425631727635227,1.3923253573271879
41,35–44,1326,0.0796760926050865,0.06808741064057008,0.09375559412151432,0.07637487792579163,1.0432238292086364,0.8914896166083051,1.2275711158924585
41,45–54,1326,0.08368041231422832,0.0695634941305306,0.10105254159944235,0.07779322476260957,1.0756773815404084,0.8942101878769976,1.298988978896426
41,55–64,1326,0.08704682287313054,0.07190908407218795,0.10463239962140795,0.0826213066000411,1.0535638620980998,0.8703455201972341,1.266409403665324
41,Over 65,1326,0.2208269376207391,0.1880543623874918,0.2571935031508651,0.2088942742978549,1.0571229793779309,0.900237036269131,1.2312137516231874
41,White,1326,0.8815293762415798,0.8358050371083284,0.9243780741545475,0.8699552259426343,1.0133043057318316,0.9607448891438032,1.0625582174679664
41,Black,1326,0.008125357287675961,0.002054875656827152,0.015520214276986955,0.009841814362044383,0.8255954632727016,0.20879032881903542,1.576966777268397
41,Asian,1326,0.019371839631509107,0.011783212278225541,0.02637010392034115,0.019608012153661522,0.9879553051935296,0.6009386461964831,1.3448637074318062
41,Less High School,1326,0.11216533149126272,0.06497406431069298,0.17103752835125893,0.10336217304866917,1.085168085992624,0.6286058273958623,1.6547400592160937
41,Bachelor Degree,1326,0.09443008762508422,0.08388609532884625,0.09796083262048239,0.08982716356327457,1.0512420060839096,0.9338611172972927,1.0905479894339358
41,Graduate Degree,1326,0.11013093965216042,0.07119695236942088,0.14593212434296549,0.10894320560922868,1.010902323245307,0.653523567360402,1.339524787497197
41,Less than 20K,1326,0.17600085608428806,0.12438529521817528,0.24870894153813683,0.1773162375849725,0.9925817199902288,0.7014884644085009,1.4026292511364162
41,20K–30K,1326,0.10550728186136192,0.08317862806646378,0.1395116673485384,0.1008752423876346,1.0459184965913413,0.824569300630101,1.3830119665282699
41,30K–50K,1326,0.1925100522452523,0.167268064128345,0.22217786491709446,0.19466014127569836,0.9889546518544807,0.8592825579605544,1.1413629079947218
41,50K–100K,1326,0.2955430333497347,0.28422002896158616,0.31208069292817053,0.29781008977058376,0.9923875768527672,0.9543666877792266,1.0479184676670292
42,Female,9699,0.5120696353946708,0.5095657375298022,0.5146867195201134,0.5106453386710319,1.002789209292198,0.9978858102493613,1.0079142617057844
42,Under 18,9699,0.03479300233411122,0.03419376974835185,0.035341859382551785,0.03482307218972595,0.9991364961870424,0.9819285777559924,1.014897800802851
42,18–24,9699,0.06170381739542959,0.06036582425724531,0.06379709184291804,0.06139645186946067,1.0050062424881234,0.9832135639628385,1.03910063041691
42,25–34,9699,0.08113072620755532,0.079651096339301,0.08333792044141788,0.08009981595760425,1.0128703198331532,0.9943979943906394,1.0404258667151933
42,35–44,9699,0.07984728498089509,0.07796057280553867,0.08167332273714153,0.07813795462895448,1.0218758010758988,0.9977298890883678,1.045245209258101
42,45–54,9699,0.08342236295637102,0.08197929122824321,0.08442718401661965,0.08223519568112295,1.0144362430880747,0.9968881395519257,1.0266551118087737
42,55–64,9699,0.08668912577506234,0.08510548779469915,0.08758950664645618,0.08486685279042115,1.0214721404732812,1.0028118752661572,1.0320814754702714
42,Over 65,9699,0.2186309816676511,0.21337847107235383,0.22290866720515382,0.21626044666715005,1.0109614820325863,0.9866735890024684,1.0307417312803213
42,White,9699,0.8068968838829204,0.7538338903224807,0.8363863329826837,0.8058196728543192,1.0013367891910425,0.9354870769688484,1.0379323825888904
42,Black,9699,0.04064883492476442,0.03516824402063587,0.051415038675405096,0.038754989773269646,1.048867130724958,0.9074507367020994,1.3266688748004114
42,Asian,9699,0.021562456965593228,0.019514395415502633,0.024204765097580322,0.021346611300362774,1.0101114721298543,0.914168302449532,1.1338926238455924
42,Less High School,9699,0.0760939344913402,0.07226990290451017,0.08319992094065425,0.07605210497884424,1.0005500112391053,0.9502682788939744,1.0939857741452172
42,Bachelor Degree,9699,0.10602857999267606,0.10459588412127378,0.1087823030767382,0.10490065525067162,1.0107523135990824,0.9970946689639874,1.037003084649862
42,Graduate Degree,9699,0.14969512765434864,0.14254433784290732,0.15724549027550225,0.14680144137405754,1.019711565862067,0.971000941875612,1.0711440487483548
42,Less than 20K,9699,0.14308055928927044,0.13277278229633907,0.16104301159935067,0.14244067881710856,1.0044922593564964,0.9321268572920598,1.1305970523078395
42,20K–30K,9699,0.08830318542791561,0.08501028505243496,0.09360935602528468,0.08966196334506805,0.9848455480288434,0.9481198256307315,1.0440252759693083
42,30K–50K,9699,0.16528691641765136,0.1617489863637346,0.1714942225224656,0.1670384995319148,0.9895138957834761,0.9683335687101909,1.0266748264803438
42,50K–100K,9699,0.29059527327845774,0.28520081435406286,0.29604528600278734,0.291784082100975,0.9959257242068954,0.977437879066227,1.0146039628725796
44,Female,809,0.5148652619812073,0.5125415451410078,0.5195721739530385,0.514011490208909,1.0016609974457016,0.9971402486210886,1.0108182090284974
44,Under 18,809,0.03396018075362737,0.032716510638652795,0.035228611239203185,0.033613118042196875,1.0103252162145386,0.9733256699834122,1.0480613906445178
44,18–24,809,0.06432832354669053,0.0628062069021077,0.06622852742986915,0.06313592559144966,1.0188862037591218,0.9947776375137737,1.0489832343384273
44,25–34,809,0.0843148237343928,0.08161315943625738,0.08720918639889866,0.08156000085577587,1.0337766411195646,1.0006517726817525,1.0692641672860248
44,35–44,809,0.07863169746072474,0.07530471638216914,0.08134833224598594,0.07816976628826103,1.0059093329096096,0.9633483629012443,1.0406623443903305
44,45–54,809,0.08501732231088054,0.08266287435945548,0.08697332150738336,0.08240182842408378,1.0317407263505858,1.0031679629003887,1.055478053954971
44,55–64,809,0.08677584719231436,0.0844705863714621,0.0898466146057705,0.08322913867999518,1.042613783688857,1.0149160223349194,1.079509124216924
44,Over 65,809,0.2099899006450459,0.20310766792558085,0.2186231968576102,0.20643385246164658,1.0172260902996033,0.9838874075332015,1.0590472165810512
44,White,809,0.804464540452076,0.7668440989900408,0.8309912968203791,0.8045461313504566,0.9998985876692446,0.9531387562610838,1.032869669543415
44,Black,809,0.03757674194383631,0.03247010541101515,0.04434621681165106,0.036911647739259534,1.018018545508316,0.8796709819182544,1.2014152585359676
44,Asian,809,0.026184755290331794,0.024115745293944196,0.03423615438866463,0.025648503985149982,1.0209077030571565,0.9402398404174674,1.334820713460978
44,Less High School,809,0.0834097246422655,0.07829890336614755,0.09162083638028308,0.08163974851807859,1.0216803230817761,0.9590782037846278,1.1222576997526423
44,Bachelor Degree,809,0.11846451753335792,0.11500022253760202,0.12239393810265334,0.1155900948012049,1.0248673793121852,0.9948968614947729,1.0588618195456097
44,Graduate Degree,809,0.17462435449655508,0.15973238501932197,0.1882149418853967,0.17147153826655032,1.0183868195379675,0.9315387651740781,1.0976453806159887
44,Less than 20K,809,0.14861178253902618,0.13704259729751578,0.16566114845808408,0.1444458449191961,1.0288408269698621,0.9487472441604551,1.1468737543177927
44,20K–30K,809,0.08172143802233797,0.07834026628541395,0.08637036800407787,0.080178766409209,1.0192404009467497,0.977069987402751,1.077222460161943
44,30K–50K,809,0.14753552581358437,0.13166121498279143,0.1572136404252202,0.15130816697565025,0.975066506736064,0.8701527327601519,1.0390294428093911
44,50K–100K,809,0.28262666566463523,0.2786220260738647,0.2859631975325895,0.28209954923666997,1.0018685475726268,0.9876727092538253,1.013696045620683
45,Female,3021,0.5167537269191403,0.5160393338579556,0.5180500329412211,0.5160902617219767,1.0012855603881188,0.9999013198508123,1.0037973419856936
45,Under 18,3021,0.03185649070824009,0.031133352466340778,0.03235421852735667,0.03211053140851426,0.992088555089848,0.9695682724853821,1.007589009217636
45,18–24,3021,0.05233176753732011,0.05136176008729166,0.0534591992948511,0.05318105720179018,0.9840302222415865,0.9657905049236728,1.0052300971002803
45,25–34,3021,0.06263204659738636,0.06173730844472303,0.06402964333458411,0.06397610207653878,0.9789912883791444,0.9650057824851952,1.0008368946576531
45,35–44,3021,0.06144093106956072,0.06026860759456754,0.06254057129661167,0.06261798910021679,0.9812025578021637,0.9624807257561531,0.9987636491570941
45,45–54,3021,0.06506905464263012,0.06387182643313602,0.06623949952448359,0.06544156107547207,0.9943078003226061,0.9760131846407863,1.0121931450885053
45,55–64,3021,0.06858339474668368,0.06725995604645126,0.06995902965399417,0.06838306726247842,1.0029294895977148,0.983576179586735,1.0230460910076855
45,Over 65,3021,0.18483027893079343,0.1812529980645749,0.18878668938582724,0.18295392495474425,1.0102558826027555,0.990702976770845,1.0318810565694385
45,White,3021,0.7040320097267874,0.6781400551180385,0.7162875171142474,0.6723855172411786,1.0470659936511653,1.0085583905799622,1.0652928993075286
45,Black,3021,0.06107966313918349,0.05935348149132756,0.06386563010792683,0.0629755889493952,0.9698942742443393,0.9424839446761153,1.014133113693416
45,Asian,3021,0.01207675833726843,0.01141383055407094,0.013136527210490027,0.011530802594059317,1.0473475925683082,0.9898556896595696,1.1392552342590603
45,Less High School,3021,0.07798167854624709,0.074478584983762,0.08208184221361281,0.0810426975935118,0.9622295513580019,0.9190042680628228,1.012822186957708
45,Bachelor Degree,3021,0.0828639789991535,0.0806437005861686,0.08579032073413795,0.08129323972255717,1.0193218929637575,0.9920099243355861,1.0553192495086763
45,Graduate Degree,3021,0.11990531673191028,0.1155880424804303,0.12619873029078116,0.11590783242113466,1.0344884743962024,0.9972409980065674,1.0887851809035303
45,Less than 20K,3021,0.15931364561158498,0.1539086737669733,0.16826024500735892,0.16838357122775957,0.946135329295835,0.9140361654332227,0.9992675875710354
45,20K–30K,3021,0.09712892601094628,0.09527061008847942,0.1003371622688597,0.10093269136556703,0.9623138419955143,0.9439024046571772,0.9940997402461965
45,30K–50K,3021,0.18281014234398013,0.18073205258676797,0.18605008044478588,0.1871456112606403,0.9768337131314178,0.9657295801345825,0.9941461046910223
45,50K–100K,3021,0.2653113141891976,0.2623316284684131,0.267614338425951,0.2640188660832845,1.0048952869356897,0.9936094051159997,1.0136182402265614
46,Female,404,0.49495642220840325,0.49136025990452326,0.49807229526357555,0.49630267136403733,0.9972874432613187,0.9900415376650495,1.00356561429475
46,Under 18,404,0.034527707897628046,0.033179685747571346,0.03596886402754403,0.03614554596272527,0.955241011803623,0.9179467307476159,0.9951119306549294
46,18–24,404,0.057060822891384574,0.052768745646062334,0.06181878858037804,0.0591167922775314,0.9652219055375194,0.8926185541044355,1.0457060709613906
46,25–34,404,0.07280479742611276,0.06700198375362283,0.07925680667316741,0.07486646725603609,0.9724620393416906,0.8949531907854356,1.058642267734055
46,35–44,404,0.070836372369678,0.06540407491945702,0.07649881019755894,0.0733023746536648,0.9663584939009406,0.8922504247437377,1.043606166362229
46,45–54,404,0.07199881784120334,0.06511950782276595,0.07823455113691125,0.07478214532085908,0.9627808554072146,0.8707895118997352,1.0461661777853433
46,55–64,404,0.07855136904847256,0.07129690088453593,0.08576067020544514,0.08088338665130534,0.9711681508480067,0.8814776907389212,1.0603001896442115
46,Over 65,404,0.20022543995627046,0.19138862328790165,0.209353405073422,0.20187330379499355,0.9918371384044097,0.9480630657447441,1.0370534446002067
46,White,404,0.8691675465236453,0.812020256226972,0.9039784878510473,0.8193995348296557,1.0607371734770825,0.9909942850965644,1.103220650520597
